CID dproj vlos zclus
1 9.68421067060803 898.239070120224 0.0231
1 9.92225404162059 -2080.77507528101 0.0231
1 9.46241099620788 1132.499369524 0.0231
1 9.21325452604649 157.983439350993 0.0231
1 9.3871303083889 -1843.9185906363 0.0231
1 9.17611507144278 382.966625354316 0.0231
1 9.18054005249923 113.41168573942 0.0231
1 9.22171120236726 294.567396969994 0.0231
1 9.05192321506972 786.767197732382 0.0231
1 9.83997618666441 3038.62384783501 0.0231
1 9.8328516838401 3025.69273556837 0.0231
1 8.6507522582218 2335.9630891213 0.0231
1 8.3373990649084 -11.0176709999019 0.0231
1 8.16578632639799 2319.05565250709 0.0231
1 8.24385575647426 1803.36418461539 0.0231
1 6.24152132319152 -727.799216029713 0.0231
1 5.72703391073534 1012.59722068224 0.0231
1 5.61338958508749 961.578957443066 0.0231
1 5.55031110442577 937.510034678917 0.0231
1 5.54732262021056 893.875955194997 0.0231
1 5.34339360171864 852.252014622227 0.0231
1 6.27037042423405 -1836.77468587626 0.0231
1 6.91460399642232 497.248589893461 0.0231
1 7.35602647454827 531.573323428796 0.0231
1 7.45418886481192 -1167.23433549018 0.0231
1 7.53290881799584 -227.511975916332 0.0231
1 7.74540843200687 -1300.16136401134 0.0231
1 7.85677799232948 -1233.39310565927 0.0231
1 7.99890603614087 -1247.85379884664 0.0231
1 8.75641369554715 2352.1028050435 0.0231
1 8.53633812120238 3621.7135738833 0.0231
1 9.05931154853611 2613.02821245235 0.0231
1 9.8770294100318 -2564.24864619294 0.0231
1 9.93052462914541 -385.129136311211 0.0231
1 9.90646549290565 18.7974360277595 0.0231
1 9.80499699342145 -198.646263942918 0.0231
1 8.77046305667095 -2447.34119409637 0.0231
1 8.08491527195476 2428.67268826117 0.0231
1 7.49428900555224 -2347.64885293715 0.0231
1 6.82200190773331 335.353291291174 0.0231
1 6.97038451244021 404.629827934709 0.0231
1 6.66853492199914 2250.27725524387 0.0231
1 6.27961371793765 -921.985667402991 0.0231
1 6.15726679364857 57.6376565340635 0.0231
1 5.93746135879982 785.803151519891 0.0231
1 6.04870222725342 290.538328452743 0.0231
1 6.07776544327887 211.36053906754 0.0231
1 6.71301649413202 894.983582758284 0.0231
1 7.09445183179494 1158.95350085036 0.0231
1 7.2797442987545 154.141905659271 0.0231
1 7.5526364952332 -800.770774782524 0.0231
1 8.23538056646525 -993.160994155019 0.0231
1 8.33881660744398 -1163.25801114261 0.0231
1 8.52405560947503 -1327.40958811455 0.0231
1 8.60755762659582 -1299.96210825921 0.0231
1 8.77259437668224 -1362.64855392435 0.0231
1 9.12209284082695 2612.83188693187 0.0231
1 9.0971356196862 574.76786816538 0.0231
1 9.32210685422219 247.967923057375 0.0231
1 9.68432949241273 2786.86420502395 0.0231
1 9.70480445204203 -2562.73371643046 0.0231
1 9.28182900241731 26.0497593588113 0.0231
1 8.37074904202256 -47.3261713615483 0.0231
1 8.40291879596464 -75.7640695142209 0.0231
1 7.62863132231428 2557.22488093051 0.0231
1 7.24197127183409 -109.408989307008 0.0231
1 7.29565527077031 -281.976191574626 0.0231
1 6.78455461585326 1015.15531291174 0.0231
1 6.83701332430101 -126.257821288241 0.0231
1 6.86030482780161 159.492508650181 0.0231
1 8.19145522836374 -578.688518111622 0.0231
1 8.35861084808463 938.787615677842 0.0231
1 8.75547722947879 814.021282298896 0.0231
1 8.6458519044671 2593.32240461343 0.0231
1 8.98684428095585 2097.24004691624 0.0231
1 8.93364257489162 1974.95268951227 0.0231
1 8.96246364417938 1998.10151953866 0.0231
1 9.3916913270197 3760.04394956505 0.0231
1 9.3950489201973 3959.03891107419 0.0231
1 9.54294159179928 3822.61025573258 0.0231
1 9.60725750884673 3989.7916922295 0.0231
1 9.63543764210174 -79.2891381878598 0.0231
1 9.96834321823199 3458.92748485974 0.0231
1 9.94117375743195 -100.574340885544 0.0231
1 8.26805299155613 -26.5039452643922 0.0231
1 7.56857694160586 78.7411848695143 0.0231
1 7.39512011685788 2370.56033419998 0.0231
1 7.83906933554524 944.469334845079 0.0231
1 7.98354615801734 864.535545694459 0.0231
1 8.10614903340886 2585.85324414036 0.0231
1 9.89344174203228 3755.58706722706 0.0231
1 9.56578085316019 -145.374652565731 0.0231
